,Sent,Len,wiki_entities,Manual Annotation
0,A brake is a mechanical device that inhibits motion by absorbing energy from a moving system,16,"['Brake', 'Machine', 'Motion', 'Absorption (electromagnetic radiation)', 'Energy', 'System']","Brake, Machine, energy, system"
1,"A brake is used for slowing or stopping a moving vehicle, wheel, axle, or to prevent A brake motion, most often accomplished by means of friction",26,"['Brake', 'Motion', 'Vehicle', 'Wheel', 'Axle', 'Preventive healthcare', 'Mean', 'Friction']","Brake, Moving Vehicle, Wheel, Axle, Motion, Friction"
2,"Most brakes commonly use friction between two surfaces pressed together to convert the kinetic energy of the moving object into heat, though other methods of energy conversion may be employed",30,"['Most (city)', 'Brake', 'Common name', 'Friction', 'Surface science', 'Pressure', 'Concurrency (road)', 'Energy transformation', 'Kinetic energy', 'Motion', 'Physical object', 'Heat', 'Scientific method', 'Employment']","Brake, Friction, Surface, Pressure, Kinetic Energy, Heat, Energy Conversion, Motion"
3,"For example, regenerative braking converts much of the energy to electrical energy, which may be stored for later use",19,"['For', '.example', 'Regenerative brake', 'Brake', 'Energy transformation', 'Electrical energy', 'Energy storage']","Regenerative Brake, Energy, Electrical Energy"
4,Other methods convert kinetic energy into potential energy in such stored forms as pressurized air or pressurized oil,18,"['Scientific method', 'Kinetic energy', 'Potential energy', 'Energy storage', 'Pressure', 'Compressed air', 'Atmosphere', 'Petroleum']","Kinetic Energy, Potential Energy, compressed air, compressed oil"
5,"Eddy current brakes use magnetic fields to convert kinetic energy into electric current in the brake disc, fin, or rail, which is converted into heat",25,"['Eddy (fluid dynamics)', 'Eddy current brake', 'Electric current', 'Disc brake', 'Magnetic field', 'Energy transformation', 'Kinetic energy', 'Fin', 'Train', 'Heat']","Eddy current brake, Magnetic Field, Kinetic energy, Electric current, disc brake, fin, rail, heat"
6,"Still other braking methods even transform kinetic energy into different forms, for example by transferring the energy to a rotating flywheel",21,"['Brake', 'Scientific method', 'Parity (mathematics)', 'Phase transition', 'Kinetic energy', 'Difference (philosophy)', 'Propiska in the Soviet Union', '.example', 'Technology transfer', 'Rotation', 'Flywheel']","Brake, Kinetic energy, Energy, Rotating flywheel"
7,"Brakes are generally applied to rotating axles or wheels, but may also take other forms such as the surface of a moving fluid flaps deployed into water or air",29,"['Brake', 'Chemistry', 'Rotation', 'Axle', 'Wheel', 'Eminent domain', 'Repurchase agreement', 'Motion', 'Fluid', 'Flap (aeronautics)', 'Military deployment', 'Water', 'Aircraft']","Brake, Rotating axles, Wheels, Surface of a moving fluid flaps, Water, Air"
8,"Some vehicles use a combination of braking mechanisms, such as drag racing cars with both wheel brakes and a parachute, or airplanes with both wheel brakes and drag flaps raised into the air during landing",35,"['Some (song)', 'Vehicle', 'Car', 'Brake', 'Synchronization gear', 'Drag racing', 'Auto racing', 'Wheel', 'Parachute', 'Airplane', 'Flap (aeronautics)', 'Aircraft', 'Landing']","Vehicle, Braking mechanism, Drag racing car, wheel brakes, drag flap, air"
9,"Since kinetic energy increases quadratically with velocity   K = m v 2  / 2  {\displaystyle K=mv^{/ , an object moving at m/s has times as much energy as one of the same mass moving at m/s, and consequently the theoretical braking distance, when braking at the traction limit, is up to times as long",54,"['Since', 'Kinetic energy', 'Increase (knitting)', 'Quadratic function', 'Velocity', 'Equals sign', 'Mass', 'Bracket', 'Backslash', 'Mv (Unix)', 'Circumflex', 'Mathematical object', 'Motion', 'Metre per second', 'Irony punctuation', 'Second', 'Time', ""Sailing at the 2004 Summer Olympics – Women's Mistral One Design"", 'Mechanics', 'Brake', 'Braking distance', 'Distance', 'Traction (engineering)', 'Limit (mathematics)', 'Length']","Kinetic energy, Velocity, Energy, mass, Brake, distance, traction "
10,"In practice, fast vehicles usually have significant air drag, and energy lost to air drag rises quickly with speed",19,"['Fasting', 'Vehicle', 'Convention (norm)', 'Statistical significance', 'Aircraft', 'Drag (physics)', 'Energy', 'Sunrise', 'Speed']","Fast vehicle, air drag, energy, speed"
11,Almost all wheeled vehicles have a brake of some sort,10,"['Almost', 'Almost all', 'Wheel', 'Vehicle', 'Brake', 'Sort (typesetting)']","wheel, vehicle, Brake"
12,Even baggage carts and shopping carts may have Even baggage carts and shopping carts for use on a moving ramp,20,"['Climate of India', 'Baggage', 'Baggage cart', 'Cart', 'Retail', 'Shopping cart', 'Relocation (personal)', 'Moving walkway', 'Airport apron']","Baggage cart, shopping cart, moving ramp"
13,Most fixed wing aircraft are fitted with wheel brakes on the undercarriage,12,"['Autodrom Most', 'Fixed-wing aircraft', 'Wing', 'Fitting out', 'Wheel', 'Brake', 'Landing gear']","Wing, Aircraft, Wheel, Brake, undercarriage"
14,Some aircraft also feature air brakes designed to reduce Some aircraft speed in flight,14,"['Some (song)', 'Aircraft', 'Guest appearance', 'Railway air brake', 'Reductionism', 'Redox', 'Speed', 'Aerial refueling', 'Flight']","Aircraft, Air Brake, Speed, Flight"
15,"Notable examples include gliders and some World War II era aircraft, primarily some fighter aircraft and many dive bombers of the era",22,"['Notability', 'Include directive', 'Glider (aircraft)', 'World War II', 'McCarthyism', 'Fighter aircraft', 'Special member state territories and the European Union', 'Dive bomber', 'Bomber']","Glider, Aircraft, Fighter aircraft, drive bombers"
16,These allow the aircraft to maintain a safe speed in a steep descent,13,"['These', 'Aircraft', 'Aircraft maintenance', 'Safety', 'Assured clear distance ahead', 'Speed', 'Grade (slope)']","Aircraft, speed, steep descent"
17,The Saab B dive bomber and Vought F Corsair fighter used the deployed undercarriage as an air brake,18,"['Saab AB', 'Dive bomber', 'Bomber', 'Vought', 'Fighter aircraft', 'Landing gear', 'Aircraft', 'Air brake (aeronautics)', 'Brake']",
18,Friction brakes on automobiles store braking heat in the drum brake or disc brake while braking then conduct braking then to the air gradually,24,"['Friction', 'Brake', 'Disc brake', 'Car', 'Retail', 'Heat', 'Drum brake', 'Thermal conduction', 'Aircraft']","Friction Brake, Automobile, Braking heat, Drum brake, disc brake, "
19,When traveling downhill some vehicles can use some vehicles engines to brake,12,"['When (The Kalin Twins song)', 'Travel', 'Downhill (ski competition)', 'Vehicle', 'Canning', 'Engine', 'Brake']","Travel, Downhill, Vehicle, Vehicle Engine, Brake"
