,Unnamed: 0,Sent,Len,wiki_entities,Manual Annotation,terms_0.6,terms_0.7,terms_0.8,terms_0.9,terms_1.0
0,0,A brake is a mechanical device that inhibits motion by absorbing energy from a moving system,16,"['Brake', 'Machine', 'Motion', 'Absorption (electromagnetic radiation)', 'Energy', 'System']","Brake, Machine, energy, system",['Machine'],"['Machine', 'Energy']","['Machine', 'Energy']","['Brake', 'Machine', 'Motion', 'Energy']","['Brake', 'Machine', 'Motion', 'Absorption (electromagnetic radiation)', 'Energy', 'System']"
1,1,"A brake is used for slowing or stopping a moving vehicle, wheel, axle, or to prevent A brake motion, most often accomplished by means of friction",26,"['Brake', 'Motion', 'Vehicle', 'Wheel', 'Axle', 'Preventive healthcare', 'Mean', 'Friction']","Brake, Moving Vehicle, Wheel, Axle, Motion, Friction","['Axle', 'Friction']","['Axle', 'Friction']","['Brake', 'Axle', 'Friction']","['Brake', 'Wheel', 'Axle', 'Friction']","['Brake', 'Motion', 'Vehicle', 'Wheel', 'Axle', 'Preventive healthcare', 'Mean', 'Friction']"
2,2,"Most brakes commonly use friction between two surfaces pressed together to convert the kinetic energy of the moving object into heat, though other methods of energy conversion may be employed",30,"['Most (city)', 'Brake', 'Common name', 'Friction', 'Surface science', 'Pressure', 'Concurrency (road)', 'Energy transformation', 'Kinetic energy', 'Motion', 'Physical object', 'Heat', 'Scientific method', 'Employment']","Brake, Friction, Surface, Pressure, Kinetic Energy, Heat, Energy Conversion, Motion",[],['Kinetic energy'],"['Friction', 'Kinetic energy', 'Heat']","['Friction', 'Pressure', 'Energy transformation', 'Kinetic energy', 'Heat']","['Most (city)', 'Brake', 'Common name', 'Friction', 'Surface science', 'Pressure', 'Concurrency (road)', 'Energy transformation', 'Kinetic energy', 'Motion', 'Physical object', 'Heat', 'Scientific method', 'Employment']"
3,3,"For example, regenerative braking converts much of the energy to electrical energy, which may be stored for later use",19,"['For', '.example', 'Regenerative brake', 'Brake', 'Energy transformation', 'Electrical energy', 'Energy storage']","Regenerative Brake, Energy, Electrical Energy",[],[],['Regenerative brake'],"['Regenerative brake', 'Electrical energy']","['For', '.example', 'Regenerative brake', 'Brake', 'Energy transformation', 'Electrical energy', 'Energy storage']"
4,4,Other methods convert kinetic energy into potential energy in such stored forms as pressurized air or pressurized oil,18,"['Scientific method', 'Kinetic energy', 'Potential energy', 'Energy storage', 'Pressure', 'Compressed air', 'Atmosphere', 'Petroleum']","Kinetic Energy, Potential Energy, compressed air, compressed oil",['Kinetic energy'],['Kinetic energy'],"['Kinetic energy', 'Potential energy']","['Kinetic energy', 'Potential energy', 'Pressure', 'Compressed air', 'Petroleum']","['Scientific method', 'Kinetic energy', 'Potential energy', 'Energy storage', 'Pressure', 'Compressed air', 'Atmosphere', 'Petroleum']"
5,5,"Eddy current brakes use magnetic fields to convert kinetic energy into electric current in the brake disc, fin, or rail, which is converted into heat",25,"['Eddy (fluid dynamics)', 'Eddy current brake', 'Electric current', 'Disc brake', 'Magnetic field', 'Energy transformation', 'Kinetic energy', 'Fin', 'Train', 'Heat']","Eddy current brake, Magnetic Field, Kinetic energy, Electric current, disc brake, fin, rail, heat",['Eddy current brake'],"['Eddy current brake', 'Kinetic energy']","['Eddy current brake', 'Electric current', 'Kinetic energy']","['Eddy current brake', 'Electric current', 'Magnetic field', 'Kinetic energy', 'Heat']","['Eddy (fluid dynamics)', 'Eddy current brake', 'Electric current', 'Disc brake', 'Magnetic field', 'Energy transformation', 'Kinetic energy', 'Fin', 'Train', 'Heat']"
6,6,"Still other braking methods even transform kinetic energy into different forms, for example by transferring the energy to a rotating flywheel",21,"['Brake', 'Scientific method', 'Parity (mathematics)', 'Phase transition', 'Kinetic energy', 'Difference (philosophy)', 'Propiska in the Soviet Union', '.example', 'Technology transfer', 'Rotation', 'Flywheel']","Brake, Kinetic energy, Energy, Rotating flywheel",['Kinetic energy'],['Kinetic energy'],"['Kinetic energy', 'Flywheel']","['Kinetic energy', 'Rotation', 'Flywheel']","['Brake', 'Scientific method', 'Parity (mathematics)', 'Phase transition', 'Kinetic energy', 'Difference (philosophy)', 'Propiska in the Soviet Union', '.example', 'Technology transfer', 'Rotation', 'Flywheel']"
7,7,"Brakes are generally applied to rotating axles or wheels, but may also take other forms such as the surface of a moving fluid flaps deployed into water or air",29,"['Brake', 'Chemistry', 'Rotation', 'Axle', 'Wheel', 'Eminent domain', 'Repurchase agreement', 'Motion', 'Fluid', 'Flap (aeronautics)', 'Military deployment', 'Water', 'Aircraft']","Brake, Rotating axles, Wheels, Surface of a moving fluid flaps, Water, Air",['Flap (aeronautics)'],"['Brake', 'Axle', 'Flap (aeronautics)']","['Brake', 'Axle', 'Wheel', 'Flap (aeronautics)']","['Brake', 'Axle', 'Wheel', 'Fluid', 'Flap (aeronautics)', 'Aircraft']","['Brake', 'Chemistry', 'Rotation', 'Axle', 'Wheel', 'Eminent domain', 'Repurchase agreement', 'Motion', 'Fluid', 'Flap (aeronautics)', 'Military deployment', 'Water', 'Aircraft']"
8,8,"Some vehicles use a combination of braking mechanisms, such as drag racing cars with both wheel brakes and a parachute, or airplanes with both wheel brakes and drag flaps raised into the air during landing",35,"['Some (song)', 'Vehicle', 'Car', 'Brake', 'Synchronization gear', 'Drag racing', 'Auto racing', 'Wheel', 'Parachute', 'Airplane', 'Flap (aeronautics)', 'Aircraft', 'Landing']","Vehicle, Braking mechanism, Drag racing car, wheel brakes, drag flap, air","['Drag racing', 'Flap (aeronautics)']","['Brake', 'Drag racing', 'Parachute', 'Flap (aeronautics)']","['Brake', 'Drag racing', 'Parachute', 'Airplane', 'Flap (aeronautics)']","['Vehicle', 'Brake', 'Drag racing', 'Wheel', 'Parachute', 'Airplane', 'Flap (aeronautics)', 'Aircraft']","['Some (song)', 'Vehicle', 'Car', 'Brake', 'Synchronization gear', 'Drag racing', 'Auto racing', 'Wheel', 'Parachute', 'Airplane', 'Flap (aeronautics)', 'Aircraft', 'Landing']"
9,9,"Since kinetic energy increases quadratically with velocity   K = m v 2  / 2  {\displaystyle K=mv^{/ , an object moving at m/s has times as much energy as one of the same mass moving at m/s, and consequently the theoretical braking distance, when braking at the traction limit, is up to times as long",54,"['Since', 'Kinetic energy', 'Increase (knitting)', 'Quadratic function', 'Velocity', 'Equals sign', 'Mass', 'Bracket', 'Backslash', 'Mv (Unix)', 'Circumflex', 'Mathematical object', 'Motion', 'Metre per second', 'Irony punctuation', 'Second', 'Time', ""Sailing at the 2004 Summer Olympics – Women's Mistral One Design"", 'Mechanics', 'Brake', 'Braking distance', 'Distance', 'Traction (engineering)', 'Limit (mathematics)', 'Length']","Kinetic energy, Velocity, Energy, mass, Brake, distance, traction ","['Kinetic energy', 'Braking distance']","['Kinetic energy', 'Velocity', 'Mass', 'Braking distance']","['Kinetic energy', 'Velocity', 'Mass', 'Metre per second', 'Time', 'Braking distance', 'Distance']","['Kinetic energy', 'Quadratic function', 'Velocity', 'Mass', 'Metre per second', 'Second', 'Time', 'Mechanics', 'Brake', 'Braking distance', 'Distance', 'Length']","['Since', 'Kinetic energy', 'Increase (knitting)', 'Quadratic function', 'Velocity', 'Equals sign', 'Mass', 'Bracket', 'Backslash', 'Mv (Unix)', 'Circumflex', 'Mathematical object', 'Motion', 'Metre per second', 'Irony punctuation', 'Second', 'Time', ""Sailing at the 2004 Summer Olympics – Women's Mistral One Design"", 'Mechanics', 'Brake', 'Braking distance', 'Distance', 'Traction (engineering)', 'Limit (mathematics)', 'Length']"
