entity,type
"1,1,1-Trichloroethane",part
AC motor,type
AMC Amitron,product
Abrasion (mechanical),part
Acceleration,parameter
Accelerometer,part
Accumulator (computing),part
Acetone,material
Actuator,part
Adaptive cruise control,type
Addendum,part
Adenosine triphosphate,part
Adhesion,parameter
Adhesion railway,product
Adjustment handle,part
Advanced Passenger Train,type
Air brake (aeronautics),type
Air brake (road vehicle),type
Air compressor,parameter
Air compressor,part
Air compressor,system
Air conditioning,part
Air conditioning,type
Air cooling,type
Air pump,part
Air pump,system
Aircraft,product
Aircraft pilot,product
Airplane,product
Alarm clock,part
Alcohol (drug),material
Alcohol (drug),part
Alfa Romeo Alfasud,product
All-wheel drive,type
Alloy,material
Alloy wheel,part
Alnico,material
Alternating current,part
Alternative rock,part
Alternator,part
Aluminium,material
Aluminium,part
American Motors Corporation,ORG
Amfleet,product
Angle,parameter
Angle,part
Angular frequency,parameter
Angular momentum,parameter
Angular velocity,parameter
Anti-lock braking system,system
Anvil,type
Application software,part
Area,parameter
Armature (electrical),part
Articulated vehicle,product
Asbestos,material
Asbestos,part
Asphalt,part
Atmosphere,part
Atmosphere of Earth,part
Atmospheric pressure,parameter
Audi,product
Ausco Lambert disc brake,type
Australia,GPE
Automatic transmission,part
Automatic transmission,type
Automation,part
Automaton,part
Automotive Products,product
Automotive industry,product
Aviation,product
Axle,part
Axle,system
BHP,type
BMW,product
Back pressure,parameter
Backlash (engineering),parameter
Bail,part
Ball valve,type
Band brake,type
Bar (establishment),part
Battery electric vehicle,product
Beam axle,type
Beam engine,type
Bearing (mechanical),part
Bearing surface,type
Beaufort scale,parameter
Bell,part
Belt (mechanical),part
Bendix Corporation,ORG
Bicycle,product
Bicycle and motorcycle dynamics,parameter
Bicycle brake,type
Bicycle chain,part
Bicycle fork,part
Bicycle frame,part
Bicycle handlebar,part
Bicycle handlebar,type
Bicycle pedal,part
Bicycle wheel,part
Bifilar coil,product
Big Four (British railway companies),product
Binder (material),material
Boat,product
Boat trailer,type
Bogie,product
Boiler,product
Boiler blowdown,product
Boiling point,parameter
Bombardier Electrostar,product
Bombardier Transportation,product
Boundary layer,part
Bowden cable,part
Braid,part
Brake,system
Brake bleeding,part
Brake cleaner,part
Brake fade,part
Brake fluid,type
Brake force,parameter
Brake lining,part
Brake pad,part
Brake run,part
Brake shoe,part
Brake shoe,type
Brake van,part
Brake-by-wire,part
Brake-by-wire,product
Braking distance,parameter
Brands Hatch,parameter
Brass,material
Brass,part
British Aircraft Corporation,ORG
British Rail,product
British Westinghouse,product
Budd Company,ORG
Burnout (vehicle),parameter
Bus,product
Bus (computing),part
Butterfly valve,type
CBS,part
CV/gate,part
Cable television,part
Calipers,part
Cam,part
Camshaft,part
Canadian Pacific Railway,product
Cantilever,part
Car,product
Car controls,system
Car suspension,system
Carbon,material
Carbon fibers,part
Carbon-fiber-reinforced polymers,part
Cargo,product
Carl Benz,product
Carousel,product
Carriage,product
Cashew,part
Cast iron,material
Cast iron,part
Casting (metalworking),material
Cement,material
Cementite,material
Center of mass,parameter
Central heating,parameter
Ceramic,material
Ceramic,part
Ceramic glaze,part
Ceramic matrix composite,material
Chassis,part
Chassis Brakes International,type
Check valve,type
Chemical bond,material
Chemical element,material
Chemical property,parameter
Chicken,part
Chimney,part
Chlorine,material
Chrysler,type
Chrysler Imperial,type
Chrysler Town & Country (1941–1988),type
Chrysotile,material
Citroën,other
Citroën XM,other
Citroën Xantia,other
Cleaning agent,part
Cleanroom,product
Cloaca,parameter
Clogging,part
Closed-circuit television,part
Clutch,part
Coal,material
Coal mining,part
Collision avoidance system,type
Combined braking system,part
Commercial vehicle,product
Communication channel,part
Composite material,material
Composite material,part
Compressed air,part
Compressed air dryer,part
Compressibility,parameter
Compression release,part
Compression release engine brake,type
Compressor,system
Computer,product
Computer hardware,part
Concept car,product
Concorde,product
Concrete,part
Connecting rod,part
Contact patch,parameter
Contamination,parameter
Continental AG,product
Continuously variable transmission,type
Control car,product
Control line,part
Control system,part
Control system,type
Control valve,type
Copper,material
Cordless,type
Cork (material),material
Cork (material),part
Cornering force,parameter
Corrosion,part
Corrosion inhibitor,material
Cotton,material
Counter-pressure brake,parameter
Counterweight brake,type
Cowl,material
Crane (machine),product
Crankset,part
Crankshaft,part
Crescent,part
Cruise control,part
Cryogenics,material
Cummins,product
Curve,parameter
Cycling,product
Cylinder (engine),part
Daimler AG,product
Daimler Company,ORG
Data,part
Davies and Metcalfe,product
Decelostat,part
Decelostat,type
Deflection (engineering),parameter
Deformation (engineering),parameter
Delhi Metro,product
Design,type
Destroyer,product
Detergent,parameter
Detroit,type
Detroit Diesel,product
Deutsche Reichsbahn,part
Diameter,type
Dichloromethane,material
Die casting,material
Diesel engine,type
Diesel fuel,part
Diesel locomotive,product
Diesel–electric transmission,type
Diethyl ether,material
Diethylene glycol,material
Direct current,part
Disability,part
Disc brake,type
Dissipation,parameter
Dissipation,part
Distance,parameter
Dog clutch,type
Double-decker bus,product
Douglas (motorcycles),product
Downhill bike,product
Draft (hull),parameter
Drag (physics),parameter
Drive by wire,part
Drive wheel,part
Drivetrain,type
Driving wheel,part
Drogue parachute,part
Drum,part
Drum brake,type
Drum kit,part
Duesenberg,product
Dunlop Rubber,part
Dust,parameter
Dust,part
Dynamic braking,part
Eddy current,type
Eddy current brake,type
Election Commission of Pakistan,type
Electric car,product
Electric charge,part
Electric current,parameter
Electric generator,part
Electric locomotive,product
Electric motor,system
Electric multiple unit,type
Electric vehicle,product
Electrical grid,part
Electrical network,part
Electrical wiring,part
Electricity,parameter
Electricity meter,part
Electro (music),type
Electromagnet,part
Electromagnetic brake,type
Electromagnetic clutches and brakes,type
Electromagnetic coil,part
Electromagnetic induction,part
Electromagnetism,part
Electromagnetism,type
Electronic brakeforce distribution,type
Electronic music,type
Electronic parking brake,type
