,coocc_term,source_term,target_term,relation,score,count
4495,Lever-Bicycle,Lever,Bicycle,is part of,0.9999074935913086,6
4791,Locomotive-Brake shoe,Brake shoe,Locomotive,is part of,0.9999033212661744,2
10565,Valve-Train,Valve,Train,is part of,0.99989116191864,2
9561,Train-Cable television,Cable television,Train,is part of,0.9998829364776612,2
4490,Lever-Bicycle,Bicycle,Lever,consists of,0.9998718500137328,6
4256,International Organization for Standardization-Fluid,Fluid,International Organization for Standardization,is part of,0.9998716115951538,5
5547,Muffler-Diesel engine,Muffler,Diesel engine,is part of,0.9998656511306764,1
10970,Vehicle-Valve,Valve,Vehicle,is part of,0.9998606443405152,2
4252,International Organization for Standardization-Brake fluid,Brake fluid,International Organization for Standardization,is part of,0.9998600482940674,5
5538,Mountain bike-Lever,Lever,Mountain bike,is part of,0.9998562335968018,6
10758,Vehicle-Brake shoe,Brake shoe,Vehicle,is part of,0.9998555183410645,2
4257,International Organization for Standardization-Fluid,International Organization for Standardization,Fluid,consists of,0.9998514652252196,5
7245,Reservoir-Car,Reservoir,Car,is part of,0.999848484992981,2
4253,International Organization for Standardization-Brake fluid,International Organization for Standardization,Brake fluid,consists of,0.999847412109375,5
5524,Motor–generator-Electric vehicle,Motor–generator,Electric vehicle,is part of,0.9998466968536376,1
4793,Locomotive-Brake shoe,Locomotive,Brake shoe,consists of,0.9998422861099244,2
10593,Vehicle-Actuator,Actuator,Vehicle,is part of,0.9998401403427124,2
10559,Valve-Train,Train,Valve,consists of,0.9998397827148438,2
10397,Valve-Carriage,Valve,Carriage,is part of,0.9998353719711304,1
10969,Vehicle-Valve,Valve,Vehicle,is part of,0.9998347759246826,2
9562,Train-Cable television,Train,Cable television,consists of,0.9998329877853394,2
9233,Track bicycle-Brake,Brake,Track bicycle,is part of,0.9998325109481812,6
3914,Hydraulic fluid-Car,Hydraulic fluid,Car,is part of,0.9998313188552856,5
10974,Vehicle-Valve,Vehicle,Valve,consists of,0.9998304843902588,2
5546,Muffler-Diesel engine,Diesel engine,Muffler,consists of,0.999822437763214,1
8834,Throttle-Internal combustion engine,Throttle,Internal combustion engine,is part of,0.999822199344635,1
5994,Piston-Bogie,Piston,Bogie,is part of,0.9998205304145812,1
5523,Motor–generator-Electric vehicle,Electric vehicle,Motor–generator,consists of,0.9998149275779724,1
9501,Train-Brake,Brake,Train,is part of,0.9998106360435486,1
10382,Valve-Bus,Valve,Bus,is part of,0.999809205532074,1
7243,Reservoir-Car,Car,Reservoir,consists of,0.9997983574867249,2
9687,Train-Reservoir,Train,Reservoir,consists of,0.9997915625572203,2
10973,Vehicle-Valve,Vehicle,Valve,consists of,0.9997909665107728,2
8351,Steam locomotive-Dynamic braking,Dynamic braking,Steam locomotive,is part of,0.999789535999298,1
5526,Motor–generator-Hybrid electric vehicle,Motor–generator,Hybrid electric vehicle,is part of,0.9997861981391908,1
10396,Valve-Carriage,Carriage,Valve,consists of,0.9997851252555848,1
6796,Rail transport-Magnet,Magnet,Rail transport,is part of,0.9997825026512146,1
9449,Train-Bell,Train,Bell,consists of,0.9997801184654236,1
9557,Train-Brake shoe,Train,Brake shoe,consists of,0.9997782111167908,2
10162,Vacuum pump-Diesel locomotive,Vacuum pump,Diesel locomotive,is part of,0.9997772574424744,2
9553,Train-Brake,Train,Brake,consists of,0.9997765421867372,1
9683,Train-Reservoir,Reservoir,Train,is part of,0.999769389629364,2
9555,Train-Brake run,Train,Brake run,consists of,0.999765694141388,2
10851,Vehicle-Lever,Lever,Vehicle,is part of,0.9997653365135192,1
9556,Train-Brake shoe,Brake shoe,Train,is part of,0.9997652173042296,2
11281,Wagon-Power cable,Wagon,Power cable,consists of,0.9997636675834656,2
7807,Sensor-Brake run,Brake run,Sensor,consists of,0.9997633099555968,2
1034,Car-Brake fluid,Brake fluid,Car,is part of,0.9997603297233582,5
4830,Locomotive-Exhibitionism,Exhibitionism,Locomotive,is part of,0.9997562766075134,1
10476,Valve-Locomotive,Valve,Locomotive,is part of,0.999755561351776,2
9234,Track bicycle-Brake,Track bicycle,Brake,consists of,0.999755322933197,6
5334,Metal-Anti-lock braking system,Metal,Anti-lock braking system,is part of,0.9997537732124328,5
714,Brake-Bicycle,Brake,Bicycle,is part of,0.9997534155845642,6
10947,Vehicle-Throttle,Vehicle,Throttle,consists of,0.9997515082359314,1
10164,Vacuum pump-Electric locomotive,Vacuum pump,Electric locomotive,is part of,0.999750554561615,2
10946,Vehicle-Throttle,Throttle,Vehicle,is part of,0.999749481678009,1
9913,Truck-Motor oil,Motor oil,Truck,is part of,0.9997484087944032,1
6795,Rail transport-Magnet,Magnet,Rail transport,is part of,0.9997425675392152,1
9500,Train-Brake,Brake,Train,is part of,0.99974125623703,2
4789,Locomotive-Brake,Locomotive,Brake,consists of,0.9997410178184508,2
7819,Sensor-Car,Sensor,Car,is part of,0.999739110469818,2
2354,Electric vehicle-Brake,Brake,Electric vehicle,is part of,0.9997389912605286,3
3898,Hydraulic fluid-Bicycle,Hydraulic fluid,Bicycle,is part of,0.9997363686561584,5
5196,Master cylinder-Car,Master cylinder,Car,is part of,0.9997358918190002,1
9694,Train-Sensor,Sensor,Train,is part of,0.9997348189353944,1
1366,Concorde-Cast iron,Cast iron,Concorde,is part of,0.999734342098236,3
10168,Vacuum pump-Rail transport,Vacuum pump,Rail transport,is part of,0.9997339844703674,2
10960,Vehicle-Train,Vehicle,Train,is part of,0.99973326921463,2
10564,Valve-Train,Valve,Train,is part of,0.9997318387031556,1
9554,Train-Brake run,Brake run,Train,is part of,0.9997267127037048,2
10774,Vehicle-Compressed air,Vehicle,Compressed air,consists of,0.9997263550758362,2
10772,Vehicle-Compressed air,Compressed air,Vehicle,is part of,0.9997256398200988,2
5539,Mountain bike-Lever,Mountain bike,Lever,consists of,0.9997244477272034,6
9682,Train-Reservoir,Reservoir,Train,is part of,0.9997227787971495,2
12224,Wooden roller coaster-Brake,Wooden roller coaster,Brake,consists of,0.9997202754020692,2
2902,Fixed-gear bicycle-Brake,Brake,Fixed-gear bicycle,is part of,0.9997195601463318,6
4758,Locomotive-Brake,Brake,Locomotive,is part of,0.9997192025184632,2
10594,Vehicle-Actuator,Vehicle,Actuator,consists of,0.9997150301933287,2
6799,Rail transport-Magnet,Rail transport,Magnet,consists of,0.9997149109840392,1
73,Bicycle brake-Bicycle,Bicycle brake,Bicycle,is part of,0.9997032284736632,6
8352,Steam locomotive-Dynamic braking,Steam locomotive,Dynamic braking,consists of,0.9997004270553588,1
10968,Vehicle-Valve,Valve,Vehicle,is part of,0.9996988773345948,2
10760,Vehicle-Brake shoe,Vehicle,Brake shoe,consists of,0.9996986389160156,2
2356,Electric vehicle-Electric generator,Electric generator,Electric vehicle,is part of,0.999686360359192,1
9448,Train-Bell,Bell,Train,is part of,0.9996850490570068,1
4723,Locomotive-Bell,Locomotive,Bell,consists of,0.999679684638977,1
10526,Valve-Rail transport,Valve,Rail transport,is part of,0.9996782541275024,1
6680,Pump-Locomotive,Locomotive,Pump,consists of,0.9996781349182128,1
4589,Lever-Brake,Lever,Brake,is part of,0.9996771812438964,6
6798,Rail transport-Magnet,Rail transport,Magnet,consists of,0.99967622756958,1
12223,Wooden roller coaster-Brake,Brake,Wooden roller coaster,is part of,0.9996635913848876,2
370,Brake pad-Brake,Brake pad,Brake,is part of,0.9996613264083862,6
8832,Throttle-Internal combustion engine,Internal combustion engine,Throttle,consists of,0.9996583461761476,1
7808,Sensor-Brake run,Sensor,Brake run,is part of,0.9996583461761476,2
9695,Train-Sensor,Train,Sensor,consists of,0.9996575117111206,1
10853,Vehicle-Lever,Vehicle,Lever,consists of,0.9996569156646729,1
10160,Vacuum pump-British Rail,Vacuum pump,British Rail,is part of,0.9996461868286132,2
4711,Locomotive-Air compressor,Air compressor,Locomotive,is part of,0.9996429681777954,2
11280,Wagon-Power cable,Power cable,Wagon,is part of,0.9996380805969238,2
7244,Reservoir-Car,Reservoir,Car,is part of,0.999634861946106,2
10914,Vehicle-Retarder (mechanical engineering),Retarder (mechanical engineering),Vehicle,is part of,0.9996331930160522,1
10915,Vehicle-Retarder (mechanical engineering),Vehicle,Retarder (mechanical engineering),consists of,0.9996330738067628,1
9499,Train-Brake,Brake,Train,is part of,0.9996330738067628,2
9552,Train-Brake,Train,Brake,consists of,0.9996294975280762,2
9204,Toyota-Actuator,Actuator,Toyota,is part of,0.999629020690918,1
10381,Valve-Bus,Bus,Valve,consists of,0.9996273517608644,1
1367,Concorde-Cast iron,Concorde,Cast iron,consists of,0.999626398086548,3
2081,Drum brake-Brake shoe,Brake shoe,Drum brake,is part of,0.999624490737915,2
10866,Vehicle-Master cylinder,Master cylinder,Vehicle,is part of,0.9996240139007568,2
9686,Train-Reservoir,Train,Reservoir,consists of,0.9996219873428344,1
713,Brake-Bicycle,Brake,Bicycle,is part of,0.9996217489242554,6
4790,Locomotive-Brake shoe,Brake shoe,Locomotive,is part of,0.99962055683136,2
